accession	accession_version	strain	date	region	country	division	location	length	host	host_genus	host_type	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	p48_coverage	NTPase_coverage	p22_coverage	VPg_coverage	3CLpro_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	ORF2_type	ORF1_type	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
PV765575	PV765575.1	15_S15	2025-03-XX	Europe	Italy	Varese	Lombardy Region	7479	Homo sapiens	Homo	human		2025-06-15	2025-06-15		Mancini et al.	Mancini,N.	University of insubria, Department of medicine and technological innovation	https://www.ncbi.nlm.nih.gov/nuccore/PV765575	0.9915422228095678	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.9144981412639405,VPg:1,p22:1,p48:0.9969879518072289	0	1973	0						VP1:394-398,VP2:134-144,VP2:165-172	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.914			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV765587	PV765587.1	29_S29	2025-03-XX	Europe	Italy	Varese	Lombardy Region	7480	Homo sapiens	Homo	human		2025-06-15	2025-06-15		Mancini et al.	Mancini,N.	University of insubria, Department of medicine and technological innovation	https://www.ncbi.nlm.nih.gov/nuccore/PV765587	0.9916743755781684	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.9144981412639405,VPg:1,p22:1,p48:0.9969879518072289	0	1974	0						VP1:394-398,VP2:134-144,VP2:165-172	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.914			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV806173	PV806173.1	HuNoV_RU/SVE/GII.7_P7_30.1_24	2024-02-19	Europe	Russia			7482	Homo sapiens	Homo	human		2025-06-25	2025-06-25		Bykov et al.	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections	https://www.ncbi.nlm.nih.gov/nuccore/PV806173	0.9941852781815779	3CLpro:1,NTPase:1,ORF1:0.9870588235294118,RdRp:1,VP1:0.966728280961183,VP2:0.9553903345724907,VPg:1,p22:1,p48:0.9337349397590361	0	2392	0						ORF1:46-67,p48:46-67,VP1:292-306,VP2:171-181	0.934	1.0	1.0	1.0	1.0	1.0	0.967	0.955			GII.7	GII	GII.7		GII.P7	GII.P	GII.P7	
PV902474	PV902474.1	25	2025-03-XX	Europe	Italy	Varese	Lombardy Region	7551	Homo sapiens	Homo	human		2025-07-14	2025-07-14		Lai et al.	Lai,A.,Mancini,N.,Genoni,A.,Novazzi,F.,Zambon,G.	University of insubria, Department of medicine and technological innovation	https://www.ncbi.nlm.nih.gov/nuccore/PV902474	0.999471388925598	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.9219330855018587,VPg:1,p22:1,p48:1	0	1997	0						VP1:394-398,VP2:134-144,VP2:165-172	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.922			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV920368	PV920368.1	Hu/GII.17/WT-NORO-2837/2022/UK	2022-12-XX	Europe	United Kingdom			7541	Homo sapiens	Homo	human		2025-09-30	2025-09-30		Tully et al.	Tully,D.C.,Roy,S.,Tutill,H.,Williams,R.,Celma,C.,Lindesmith,L.C.,Baric,R.S.,Breuer,J.,Tully,D.	London School of Hygiene and Tropical Medicine, Infectious Diseases Epidemiology	https://www.ncbi.nlm.nih.gov/nuccore/PV920368	0.997885555702392	3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:0.9879518072289156	0	2028	0							0.988	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.17	GII	GII.17		GII.P3	GII.P	GII.P3	
PV920371	PV920371.1	Hu/GII.17/WT-NORO-2670/2023/UK	2023-02-XX	Europe	United Kingdom			7546	Homo sapiens	Homo	human		2025-09-30	2025-09-30		Tully et al.	Tully,D.C.,Roy,S.,Tutill,H.,Williams,R.,Celma,C.,Lindesmith,L.C.,Baric,R.S.,Breuer,J.,Tully,D.	London School of Hygiene and Tropical Medicine, Infectious Diseases Epidemiology	https://www.ncbi.nlm.nih.gov/nuccore/PV920371	0.9977534029337914	3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:1,p48:0.9879518072289156	0	1997	0						VP1:393-398	0.988	1.0	1.0	1.0	1.0	1.0	0.989	1.0			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PX458191	PX458191.1	100046	2004-09-14	North America	USA	Texas	Houston TX	7643	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458191	0.998942777851196	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	5	3188	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458194	PX458194.1	100050	2004-09-15	North America	USA	Texas	Houston TX	7648	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458194	1	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3191	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458200	PX458200.1	100072	2004-09-19	North America	USA	Texas	Houston TX	7596	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458200	0.9937888198757764	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3171	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458201	PX458201.1	100089	2004-09-23	North America	USA	Texas	Houston TX	7596	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458201	0.9937888198757764	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3173	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458208	PX458208.1	100222	2005-01-12	North America	USA	Texas	Houston TX	7635	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458208	0.9981498612395929	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3186	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937							GI.P1	GI.P	GI.P1	
PX458213	PX458213.1	100241	2005-01-13	North America	USA	Texas	Houston TX	7591	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458213	0.9936566671071759	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3171	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458217	PX458217.1	100495	2006-01-18	North America	USA	Texas	Houston TX	7591	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458217	0.9935245143385754	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3170	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458229	PX458229.1	100544	2006-02-04	North America	USA	Texas	Houston TX	7598	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458229	0.993920972644377	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.9294117647058824,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.7650602409638554	0	3185	0						ORF1:9-61,ORF1:177-189,ORF1:397-402,ORF1:841-860,ORF1:1195-1201,p48:9-61,p48:177-189,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.765	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458231	PX458231.1	100600	2006-04-01	North America	USA	Texas	Houston TX	7639	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458231	0.9996035416941985	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3191	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
PX458233	PX458233.1	100602	2006-04-03	North America	USA	Texas	Houston TX	7655	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458233	1	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3191	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.937							GI.P1	GI.P	GI.P1	
PX458238	PX458238.1	100612	2006-04-03	North America	USA	Texas	Houston TX	7653	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458238	1	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.9294117647058824,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9368029739776952,VPg:1,p22:0.8700564971751412,p48:0.7650602409638554	0	3200	0						ORF1:9-61,ORF1:177-189,ORF1:397-402,ORF1:841-860,ORF1:1195-1201,p48:9-61,p48:177-189,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175	0.765	0.984	0.87	1.0	1.0	0.986	0.974	0.937							GI.P1	GI.P	GI.P1	
PX458265	PX458265.1	101018	2008-03-18	North America	USA	Texas	Houston TX	7616	Homo sapiens	Homo	human		2025-10-19	2025-10-19		Ramani et al.	Ramani,S.,Javornik Cregeen,S.J.,Surathu,A.,Neill,F.H.,Muzny,D.M.,Doddapaneni,H.,Menon,V.K.,Hoffman,K.L.,Ross,M.C.,Metcalf,G.,Opekun,A.R.,Graham,D.Y.,Gibbs,R.A.,Petrosino,J.,Estes,M.K.,Atmar,R.L.	Baylor College of Medicine, CMMR	https://www.ncbi.nlm.nih.gov/nuccore/PX458265	0.9980177084709925	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.005294117647058823,RdRp:0.9862745098039216,VP1:0.9741219963031423,VP2:0.9330855018587361,VPg:1,p22:0.8700564971751412,p48:0.06325301204819277	0	3177	0						ORF1:4-35,ORF1:51-176,ORF1:190-393,ORF1:404-1700,p48:4-35,p48:51-176,p48:190-332,NTPase:65-70,p22:143-162,RdRp:6-12,VP1:281-282,VP1:381-389,VP2:168-175,VP2:269	0.063	0.984	0.87	1.0	1.0	0.986	0.974	0.933			GI.1	GI	GI.1		GI.P1	GI.P	GI.P1	
