accession	accession_version	strain	date	region	country	division	location	length	host	host_genus	host_type	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	p48_coverage	NTPase_coverage	p22_coverage	VPg_coverage	3CLpro_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	ORF2_type	ORF1_type	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
PV611447	PV611447.1	BTY1MY	2016-08-11	Africa	Malawi			7420	"Homo sapiens"	Homo	human		2025-06-03	2025-06-03		"Matambo et al."	Matambo,E.,Kawonga,F.,Mhango,C.,Chinyama,E.,Msowoya,J.,Majengo,C.,Maseko,S.,Shange,N.,Baloyi,S.,Mogotsi,M.T.,Dennis,F.E.,Donato,C.,Kumwenda,B.,Nyaga,M.,Chaguza,C.,Jere,K.C.	"Malawi-Liverpool-Wellcome Clinical Research Programme, Virology Research Group"	https://www.ncbi.nlm.nih.gov/nuccore/PV611447	0.9797806264041231	3CLpro:1,NTPase:1,ORF1:0.9688235294117648,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9661016949152542,p48:0.858433734939759	1	1243	0						ORF1:857-860,p22:159-162	0.858	1.0	0.966	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
PV611448	PV611448.1	BTY1P3	2016-09-26	Africa	Malawi			7496	"Homo sapiens"	Homo	human		2025-06-03	2025-06-03		"Matambo et al."	Matambo,E.,Kawonga,F.,Mhango,C.,Chinyama,E.,Msowoya,J.,Majengo,C.,Maseko,S.,Shange,N.,Baloyi,S.,Mogotsi,M.T.,Dennis,F.E.,Donato,C.,Kumwenda,B.,Nyaga,M.,Chaguza,C.,Jere,K.C.	"Malawi-Liverpool-Wellcome Clinical Research Programme, Virology Research Group"	https://www.ncbi.nlm.nih.gov/nuccore/PV611448	0.9902206951235628	3CLpro:1,NTPase:1,ORF1:0.9864705882352941,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:0.9457831325301205	3	1205	0						ORF1:857-860,p22:159-162	0.946	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
PV611449	PV611449.1	BTY20M	2017-08-23	Africa	Malawi			7524	"Homo sapiens"	Homo	human		2025-06-03	2025-06-03		"Matambo et al."	Matambo,E.,Kawonga,F.,Mhango,C.,Chinyama,E.,Msowoya,J.,Majengo,C.,Maseko,S.,Shange,N.,Baloyi,S.,Mogotsi,M.T.,Dennis,F.E.,Donato,C.,Kumwenda,B.,Nyaga,M.,Chaguza,C.,Jere,K.C.	"Malawi-Liverpool-Wellcome Clinical Research Programme, Virology Research Group"	https://www.ncbi.nlm.nih.gov/nuccore/PV611449	0.9933923615699749	3CLpro:1,NTPase:1,ORF1:0.9888235294117647,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9661016949152542,p48:0.9608433734939759	0	1263	0						ORF1:857-860,p22:159-162	0.961	1.0	0.966	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
PV635313	PV635313.1	2023LW07	2023-03-XX	Asia	China	Guangdong	Guangzhou	7551	"Homo sapiens"	Homo	human		2025-05-18	2025-05-18		"Xiao et al."	Xiao,Y.,Li,L.-L.,Tan,Z.-X.,Liu,Y.,Li,J.-S.,Duan,Z.-J.	"Guangzhou Liwan Center for Disease Control and Prevention, Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/PV635313	1	3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.988909426987061,VP2:0.9591078066914498,VPg:1,p22:0.9378531073446328,p48:1	0	2032	0						ORF1:852-860,p22:154-162,VP1:393-398,VP2:165-173	1.0	1.0	0.938	1.0	1.0	1.0	0.989	0.959			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV636607	PV636607.1	2023LW06	2023-03-XX	Asia	China	Guangdong	Guangzhou	7523	"Homo sapiens"	Homo	human		2025-05-18	2025-05-18		"Xiao et al."	Xiao,Y.,Li,L.-L.,Tan,Z.-X.,Liu,Y.,Li,J.-S.,Duan,Z.-J.	"Guangzhou Liwan Center for Disease Control and Prevention, Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/PV636607	0.9980177084709925	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9685767097966729,VP2:0.8141263940520446,VPg:1,p22:1,p48:1	0	1971	0						VP1:292-302,VP2:142-191	1.0	1.0	1.0	1.0	1.0	1.0	0.969	0.814			GII.3	GII	GII.3		GII.P12	GII.P	GII.P12	
PV640830	PV640830.1	2023LW01	2023-03-XX	Asia	China	Guangdong	Guangzhou	7600	"Homo sapiens"	Homo	human		2025-05-19	2025-05-19		"Xiao et al."	Xiao,Y.,Li,L.-L.,Tan,Z.-X.,Liu,Y.,Li,J.-S.,Duan,Z.-J.	"Guangzhou Liwan Center for Disease Control and Prevention, Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/PV640830	0.973437293511299	3CLpro:1,NTPase:0.9781420765027322,ORF1:0.9376470588235294,RdRp:1,VP1:0.966728280961183,VP2:0.4312267657992565,VPg:1,p22:0.903954802259887,p48:0.7560240963855421	0	3212	0						ORF1:13-19,ORF1:43-70,ORF1:99-112,ORF1:182-189,ORF1:243-248,ORF1:397-404,ORF1:789-798,ORF1:860-863,p48:13-19,p48:43-70,p48:99-112,p48:182-189,p48:243-248,NTPase:65-72,p22:91-100,p22:162-165,VP1:289-300,VP1:386-391,VP2:130-145,VP2:188-269	0.756	0.978	0.904	1.0	1.0	1.0	0.967	0.431			GI.4	GI	GI.4		GI.P4	GI.P	GI.P4	
PV655189	PV655189.1	Arg19092	2024-07-01	"South America"	Argentina	Neuquen	"Villa la Angostura"	7551	"Homo sapiens"	Homo	human		2025-05-24	2025-05-24		"Gomes et al."	"Gomes,K.A.,Degiuseppe,J.I.,Moron,P.M.,Rivero,K.A.,Barrios Mathieur,C.G.,Paladino,C.,Cuba,F.G.,Haim,M.S.,Poklepovich Caride,T.,Stupka,J.A."	"INEI - ANLIS Dr. Carlos G. Malbran, Virology"	https://www.ncbi.nlm.nih.gov/nuccore/PV655189	0.999471388925598	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.895910780669145,VPg:1,p22:1,p48:1	0	2004	0						VP1:394-398,VP2:126-149	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.896			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV746275	PV746275.1	HuNoV/RU/SVE/GII.P16_GII.4/2.1_24	2025-06-05	Europe	Russia			7519	"Homo sapiens"	Homo	human		2025-06-10	2025-06-10		"Bykov et al."	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	"Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections"	https://www.ncbi.nlm.nih.gov/nuccore/PV746275	0.9936566671071759	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	245	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P16	GII.P	GII.P16	
PV746276	PV746276.1	HuNoV/RU/SVE/GII.P16_GII.4/4.1_24	2025-06-05	Europe	Russia			7518	"Homo sapiens"	Homo	human		2025-06-10	2025-06-10		"Bykov et al."	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	"Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections"	https://www.ncbi.nlm.nih.gov/nuccore/PV746276	0.9935245143385754	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	161	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII	GII	GII.4		GII.P16	GII.P	GII.P16	
PV746277	PV746277.1	HuNoV/RU/SVE/GII.P16_GII.4/1630.1_24	2025-06-05	Europe	Russia			7518	"Homo sapiens"	Homo	human		2025-06-10	2025-06-10		"Bykov et al."	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	"Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections"	https://www.ncbi.nlm.nih.gov/nuccore/PV746277	0.9935245143385754	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	126	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII	GII	GII.4		GII.P16	GII.P	GII.P16	
PV746278	PV746278.1	HuNoV/RU/SVE/GII.P16_GII.4/1987.1_24	2025-06-05	Europe	Russia			7518	"Homo sapiens"	Homo	human		2025-06-10	2025-06-10		"Bykov et al."	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	"Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections"	https://www.ncbi.nlm.nih.gov/nuccore/PV746278	0.9935245143385754	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	234	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P16	GII.P	GII.P16	
PV746280	PV746280.1	HuNoV/RU/SVE/GII.P7_GII.7/29.1_24	2025-06-05	Europe	Russia			7491	"Homo sapiens"	Homo	human		2025-06-10	2025-06-10		"Bykov et al."	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	"Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections"	https://www.ncbi.nlm.nih.gov/nuccore/PV746280	0.9919386811153693	3CLpro:1,NTPase:1,ORF1:0.9870588235294118,RdRp:1,VP1:0.9648798521256932,VP2:0.929368029739777,VPg:1,p22:1,p48:0.9337349397590361	0	2423	0						ORF1:46-67,p48:46-67,VP1:344-350,VP1:358-369,VP2:136-141,VP2:187-195	0.934	1.0	1.0	1.0	1.0	1.0	0.965	0.929			GII.6	GII	GII.6		GII.P7	GII.P	GII.P7	
PV750875	PV750875.1	O2_Patient_1_GER	2024-05-06	Europe	Spain	Getafe	Madrid	7550	"Homo sapiens"	Homo	human		2025-11-26	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750875	0.999207083388397	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9969879518072289	0	1995	0						VP1:394-398,VP2:134-157	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750876	PV750876.1	O2_Patient_3(2)_GER	2024-05-25	Europe	Spain	Getafe	Madrid	7545	"Homo sapiens"	Homo	human		2025-11-26	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750876	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9982352941176471,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9909638554216867	0	1994	0						VP1:394-398,VP2:134-157	0.991	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750877	PV750877.1	O2_Patient_3_GER	2024-05-09	Europe	Spain	Getafe	Madrid	7556	"Homo sapiens"	Homo	human		2025-11-13	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750877	1	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	1995	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750878	PV750878.1	O2_Patient_7_GER	2024-05-07	Europe	Spain	Getafe	Madrid	7548	"Homo sapiens"	Homo	human		2025-11-13	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750878	0.998942777851196	3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9939759036144579	0	1995	0						VP1:394-398,VP2:134-157	0.994	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750879	PV750879.1	O2_Patient_9_GER	2024-05-07	Europe	Spain	Getafe	Madrid	7544	"Homo sapiens"	Homo	human		2025-11-13	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750879	0.998414166776794	3CLpro:1,NTPase:1,ORF1:0.9982352941176471,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9909638554216867	0	1996	0						VP1:394-398,VP2:134-157	0.991	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750880	PV750880.1	O2_Patient_15_GER	2024-05-09	Europe	Spain	Getafe	Madrid	7551	"Homo sapiens"	Homo	human		2025-11-26	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750880	0.9993392361569975	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9969879518072289	0	1997	0						VP1:394-398,VP2:134-157	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750881	PV750881.1	O1_Patient_1_GER	2024-02-07	Europe	Spain	Getafe	Madrid	7547	"Homo sapiens"	Homo	human		2025-11-26	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750881	0.998942777851196	3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9939759036144579	0	1999	0						VP1:394-398,VP2:134-157	0.994	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750882	PV750882.1	O1_Patient_2_GER	2024-02-08	Europe	Spain	Getafe	Madrid	7555	"Homo sapiens"	Homo	human		2025-11-26	2025-11-26		"Tohma et al."	"Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S."	"Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis"	https://www.ncbi.nlm.nih.gov/nuccore/PV750882	1	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	2000	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
